id,sample_name,position_in_run,mode,order,pred_score,justification,clamped,raw_json
Exceptional Essays/researchpaper64.docx,Exceptional Essays/researchpaper64.docx,0,fewshot,original,10,"This essay demonstrates exemplary academic writing, with flawless flow, transitions, and grammar, combined with deep knowledge, insightful content, and a sophisticated structure.",False,"[
  {
    ""id"": ""Exceptional Essays/researchpaper64.docx"",
    ""pred_score"": 10,
    ""justification"": ""This essay demonstrates exemplary academic writing, with flawless flow, transitions, and grammar, combined with deep knowledge, insightful content, and a sophisticated structure.""
  },
  {
    ""id"": ""Poor Essays/poor_essay_67.docx"",
    ""pred_score"": 8,
    ""justification"": ""This essay is well-structured and clearly argued, presenting focused content with good transitions and grammar, making it a strong example of an argumentative piece.""
  },
  {
    ""id"": ""Poor Essays/poor_essay_92.docx"",
    ""pred_score"": 2,
    ""justification"": ""This essay is fundamentally flawed with very poor flow, weak transitions, significant grammar errors, and minimal depth of analysis, resembling a disorganized stream of consciousness.""
  },
  {
    ""id"": ""Exceptional Essays/researchpaper34.docx"",
    ""pred_score"": 10,
    ""justification"": ""This essay is exemplary, showcasing impeccable flow, seamless transitions, profound knowledge, and a highly polished, well-structured presentation of complex academic content.""
  },
  {
    ""id"": ""Average Essays/average_essay_80.docx"",
    ""pred_score"": 9,
    ""justification"": ""This is an exceptionally well-written personal narrative, demonstrating excellent flow, strong emotional and philosophical depth, and a highly polished structure with no meaningful weaknesses.""
  }
]"
Poor Essays/poor_essay_67.docx,Poor Essays/poor_essay_67.docx,1,fewshot,original,8,"This essay is well-structured and clearly argued, presenting focused content with good transitions and grammar, making it a strong example of an argumentative piece.",False,"[
  {
    ""id"": ""Exceptional Essays/researchpaper64.docx"",
    ""pred_score"": 10,
    ""justification"": ""This essay demonstrates exemplary academic writing, with flawless flow, transitions, and grammar, combined with deep knowledge, insightful content, and a sophisticated structure.""
  },
  {
    ""id"": ""Poor Essays/poor_essay_67.docx"",
    ""pred_score"": 8,
    ""justification"": ""This essay is well-structured and clearly argued, presenting focused content with good transitions and grammar, making it a strong example of an argumentative piece.""
  },
  {
    ""id"": ""Poor Essays/poor_essay_92.docx"",
    ""pred_score"": 2,
    ""justification"": ""This essay is fundamentally flawed with very poor flow, weak transitions, significant grammar errors, and minimal depth of analysis, resembling a disorganized stream of consciousness.""
  },
  {
    ""id"": ""Exceptional Essays/researchpaper34.docx"",
    ""pred_score"": 10,
    ""justification"": ""This essay is exemplary, showcasing impeccable flow, seamless transitions, profound knowledge, and a highly polished, well-structured presentation of complex academic content.""
  },
  {
    ""id"": ""Average Essays/average_essay_80.docx"",
    ""pred_score"": 9,
    ""justification"": ""This is an exceptionally well-written personal narrative, demonstrating excellent flow, strong emotional and philosophical depth, and a highly polished structure with no meaningful weaknesses.""
  }
]"
Poor Essays/poor_essay_92.docx,Poor Essays/poor_essay_92.docx,2,fewshot,original,2,"This essay is fundamentally flawed with very poor flow, weak transitions, significant grammar errors, and minimal depth of analysis, resembling a disorganized stream of consciousness.",False,"[
  {
    ""id"": ""Exceptional Essays/researchpaper64.docx"",
    ""pred_score"": 10,
    ""justification"": ""This essay demonstrates exemplary academic writing, with flawless flow, transitions, and grammar, combined with deep knowledge, insightful content, and a sophisticated structure.""
  },
  {
    ""id"": ""Poor Essays/poor_essay_67.docx"",
    ""pred_score"": 8,
    ""justification"": ""This essay is well-structured and clearly argued, presenting focused content with good transitions and grammar, making it a strong example of an argumentative piece.""
  },
  {
    ""id"": ""Poor Essays/poor_essay_92.docx"",
    ""pred_score"": 2,
    ""justification"": ""This essay is fundamentally flawed with very poor flow, weak transitions, significant grammar errors, and minimal depth of analysis, resembling a disorganized stream of consciousness.""
  },
  {
    ""id"": ""Exceptional Essays/researchpaper34.docx"",
    ""pred_score"": 10,
    ""justification"": ""This essay is exemplary, showcasing impeccable flow, seamless transitions, profound knowledge, and a highly polished, well-structured presentation of complex academic content.""
  },
  {
    ""id"": ""Average Essays/average_essay_80.docx"",
    ""pred_score"": 9,
    ""justification"": ""This is an exceptionally well-written personal narrative, demonstrating excellent flow, strong emotional and philosophical depth, and a highly polished structure with no meaningful weaknesses.""
  }
]"
Exceptional Essays/researchpaper34.docx,Exceptional Essays/researchpaper34.docx,3,fewshot,original,10,"This essay is exemplary, showcasing impeccable flow, seamless transitions, profound knowledge, and a highly polished, well-structured presentation of complex academic content.",False,"[
  {
    ""id"": ""Exceptional Essays/researchpaper64.docx"",
    ""pred_score"": 10,
    ""justification"": ""This essay demonstrates exemplary academic writing, with flawless flow, transitions, and grammar, combined with deep knowledge, insightful content, and a sophisticated structure.""
  },
  {
    ""id"": ""Poor Essays/poor_essay_67.docx"",
    ""pred_score"": 8,
    ""justification"": ""This essay is well-structured and clearly argued, presenting focused content with good transitions and grammar, making it a strong example of an argumentative piece.""
  },
  {
    ""id"": ""Poor Essays/poor_essay_92.docx"",
    ""pred_score"": 2,
    ""justification"": ""This essay is fundamentally flawed with very poor flow, weak transitions, significant grammar errors, and minimal depth of analysis, resembling a disorganized stream of consciousness.""
  },
  {
    ""id"": ""Exceptional Essays/researchpaper34.docx"",
    ""pred_score"": 10,
    ""justification"": ""This essay is exemplary, showcasing impeccable flow, seamless transitions, profound knowledge, and a highly polished, well-structured presentation of complex academic content.""
  },
  {
    ""id"": ""Average Essays/average_essay_80.docx"",
    ""pred_score"": 9,
    ""justification"": ""This is an exceptionally well-written personal narrative, demonstrating excellent flow, strong emotional and philosophical depth, and a highly polished structure with no meaningful weaknesses.""
  }
]"
Average Essays/average_essay_80.docx,Average Essays/average_essay_80.docx,4,fewshot,original,9,"This is an exceptionally well-written personal narrative, demonstrating excellent flow, strong emotional and philosophical depth, and a highly polished structure with no meaningful weaknesses.",False,"[
  {
    ""id"": ""Exceptional Essays/researchpaper64.docx"",
    ""pred_score"": 10,
    ""justification"": ""This essay demonstrates exemplary academic writing, with flawless flow, transitions, and grammar, combined with deep knowledge, insightful content, and a sophisticated structure.""
  },
  {
    ""id"": ""Poor Essays/poor_essay_67.docx"",
    ""pred_score"": 8,
    ""justification"": ""This essay is well-structured and clearly argued, presenting focused content with good transitions and grammar, making it a strong example of an argumentative piece.""
  },
  {
    ""id"": ""Poor Essays/poor_essay_92.docx"",
    ""pred_score"": 2,
    ""justification"": ""This essay is fundamentally flawed with very poor flow, weak transitions, significant grammar errors, and minimal depth of analysis, resembling a disorganized stream of consciousness.""
  },
  {
    ""id"": ""Exceptional Essays/researchpaper34.docx"",
    ""pred_score"": 10,
    ""justification"": ""This essay is exemplary, showcasing impeccable flow, seamless transitions, profound knowledge, and a highly polished, well-structured presentation of complex academic content.""
  },
  {
    ""id"": ""Average Essays/average_essay_80.docx"",
    ""pred_score"": 9,
    ""justification"": ""This is an exceptionally well-written personal narrative, demonstrating excellent flow, strong emotional and philosophical depth, and a highly polished structure with no meaningful weaknesses.""
  }
]"
Exceptional Essays/researchpaper39.docx,Exceptional Essays/researchpaper39.docx,0,fewshot,original,10,"This essay is an exemplary academic paper introduction, demonstrating profound understanding, flawless writing, excellent structure, and highly relevant, specific content.",False,"[
  {
    ""id"": ""Exceptional Essays/researchpaper39.docx"",
    ""pred_score"": 10,
    ""justification"": ""This essay is an exemplary academic paper introduction, demonstrating profound understanding, flawless writing, excellent structure, and highly relevant, specific content.""
  },
  {
    ""id"": ""Average Essays/average_essay_34.docx"",
    ""pred_score"": 4,
    ""justification"": ""While descriptive, this essay suffers from significant structural weaknesses (one long paragraph), minor grammatical errors, and lacks academic depth or a clear thesis beyond pure description.""
  },
  {
    ""id"": ""Exceptional Essays/researchpaper12.docx"",
    ""pred_score"": 10,
    ""justification"": ""This is an exemplary academic paper introduction and conclusion, showcasing deep research, sophisticated argumentation, flawless execution, and high relevance to advanced concepts.""
  },
  {
    ""id"": ""Poor Essays/poor_essay_7.docx"",
    ""pred_score"": 2,
    ""justification"": ""This essay provides only extremely basic, superficial facts about its topic with poor flow, minimal transitions, and lacks any significant knowledge, depth, or developed structure.""
  },
  {
    ""id"": ""Exceptional Essays/researchpaper76.docx"",
    ""pred_score"": 10,
    ""justification"": ""This exemplary academic paper introduction and conclusion exhibits deep understanding, sophisticated analysis, impeccable writing, and a highly logical, structured presentation of complex research.""
  }
]"
Average Essays/average_essay_34.docx,Average Essays/average_essay_34.docx,1,fewshot,original,4,"While descriptive, this essay suffers from significant structural weaknesses (one long paragraph), minor grammatical errors, and lacks academic depth or a clear thesis beyond pure description.",False,"[
  {
    ""id"": ""Exceptional Essays/researchpaper39.docx"",
    ""pred_score"": 10,
    ""justification"": ""This essay is an exemplary academic paper introduction, demonstrating profound understanding, flawless writing, excellent structure, and highly relevant, specific content.""
  },
  {
    ""id"": ""Average Essays/average_essay_34.docx"",
    ""pred_score"": 4,
    ""justification"": ""While descriptive, this essay suffers from significant structural weaknesses (one long paragraph), minor grammatical errors, and lacks academic depth or a clear thesis beyond pure description.""
  },
  {
    ""id"": ""Exceptional Essays/researchpaper12.docx"",
    ""pred_score"": 10,
    ""justification"": ""This is an exemplary academic paper introduction and conclusion, showcasing deep research, sophisticated argumentation, flawless execution, and high relevance to advanced concepts.""
  },
  {
    ""id"": ""Poor Essays/poor_essay_7.docx"",
    ""pred_score"": 2,
    ""justification"": ""This essay provides only extremely basic, superficial facts about its topic with poor flow, minimal transitions, and lacks any significant knowledge, depth, or developed structure.""
  },
  {
    ""id"": ""Exceptional Essays/researchpaper76.docx"",
    ""pred_score"": 10,
    ""justification"": ""This exemplary academic paper introduction and conclusion exhibits deep understanding, sophisticated analysis, impeccable writing, and a highly logical, structured presentation of complex research.""
  }
]"
Exceptional Essays/researchpaper12.docx,Exceptional Essays/researchpaper12.docx,2,fewshot,original,10,"This is an exemplary academic paper introduction and conclusion, showcasing deep research, sophisticated argumentation, flawless execution, and high relevance to advanced concepts.",False,"[
  {
    ""id"": ""Exceptional Essays/researchpaper39.docx"",
    ""pred_score"": 10,
    ""justification"": ""This essay is an exemplary academic paper introduction, demonstrating profound understanding, flawless writing, excellent structure, and highly relevant, specific content.""
  },
  {
    ""id"": ""Average Essays/average_essay_34.docx"",
    ""pred_score"": 4,
    ""justification"": ""While descriptive, this essay suffers from significant structural weaknesses (one long paragraph), minor grammatical errors, and lacks academic depth or a clear thesis beyond pure description.""
  },
  {
    ""id"": ""Exceptional Essays/researchpaper12.docx"",
    ""pred_score"": 10,
    ""justification"": ""This is an exemplary academic paper introduction and conclusion, showcasing deep research, sophisticated argumentation, flawless execution, and high relevance to advanced concepts.""
  },
  {
    ""id"": ""Poor Essays/poor_essay_7.docx"",
    ""pred_score"": 2,
    ""justification"": ""This essay provides only extremely basic, superficial facts about its topic with poor flow, minimal transitions, and lacks any significant knowledge, depth, or developed structure.""
  },
  {
    ""id"": ""Exceptional Essays/researchpaper76.docx"",
    ""pred_score"": 10,
    ""justification"": ""This exemplary academic paper introduction and conclusion exhibits deep understanding, sophisticated analysis, impeccable writing, and a highly logical, structured presentation of complex research.""
  }
]"
Poor Essays/poor_essay_7.docx,Poor Essays/poor_essay_7.docx,3,fewshot,original,2,"This essay provides only extremely basic, superficial facts about its topic with poor flow, minimal transitions, and lacks any significant knowledge, depth, or developed structure.",False,"[
  {
    ""id"": ""Exceptional Essays/researchpaper39.docx"",
    ""pred_score"": 10,
    ""justification"": ""This essay is an exemplary academic paper introduction, demonstrating profound understanding, flawless writing, excellent structure, and highly relevant, specific content.""
  },
  {
    ""id"": ""Average Essays/average_essay_34.docx"",
    ""pred_score"": 4,
    ""justification"": ""While descriptive, this essay suffers from significant structural weaknesses (one long paragraph), minor grammatical errors, and lacks academic depth or a clear thesis beyond pure description.""
  },
  {
    ""id"": ""Exceptional Essays/researchpaper12.docx"",
    ""pred_score"": 10,
    ""justification"": ""This is an exemplary academic paper introduction and conclusion, showcasing deep research, sophisticated argumentation, flawless execution, and high relevance to advanced concepts.""
  },
  {
    ""id"": ""Poor Essays/poor_essay_7.docx"",
    ""pred_score"": 2,
    ""justification"": ""This essay provides only extremely basic, superficial facts about its topic with poor flow, minimal transitions, and lacks any significant knowledge, depth, or developed structure.""
  },
  {
    ""id"": ""Exceptional Essays/researchpaper76.docx"",
    ""pred_score"": 10,
    ""justification"": ""This exemplary academic paper introduction and conclusion exhibits deep understanding, sophisticated analysis, impeccable writing, and a highly logical, structured presentation of complex research.""
  }
]"
Exceptional Essays/researchpaper76.docx,Exceptional Essays/researchpaper76.docx,4,fewshot,original,10,"This exemplary academic paper introduction and conclusion exhibits deep understanding, sophisticated analysis, impeccable writing, and a highly logical, structured presentation of complex research.",False,"[
  {
    ""id"": ""Exceptional Essays/researchpaper39.docx"",
    ""pred_score"": 10,
    ""justification"": ""This essay is an exemplary academic paper introduction, demonstrating profound understanding, flawless writing, excellent structure, and highly relevant, specific content.""
  },
  {
    ""id"": ""Average Essays/average_essay_34.docx"",
    ""pred_score"": 4,
    ""justification"": ""While descriptive, this essay suffers from significant structural weaknesses (one long paragraph), minor grammatical errors, and lacks academic depth or a clear thesis beyond pure description.""
  },
  {
    ""id"": ""Exceptional Essays/researchpaper12.docx"",
    ""pred_score"": 10,
    ""justification"": ""This is an exemplary academic paper introduction and conclusion, showcasing deep research, sophisticated argumentation, flawless execution, and high relevance to advanced concepts.""
  },
  {
    ""id"": ""Poor Essays/poor_essay_7.docx"",
    ""pred_score"": 2,
    ""justification"": ""This essay provides only extremely basic, superficial facts about its topic with poor flow, minimal transitions, and lacks any significant knowledge, depth, or developed structure.""
  },
  {
    ""id"": ""Exceptional Essays/researchpaper76.docx"",
    ""pred_score"": 10,
    ""justification"": ""This exemplary academic paper introduction and conclusion exhibits deep understanding, sophisticated analysis, impeccable writing, and a highly logical, structured presentation of complex research.""
  }
]"
