id,sample_name,position_in_run,mode,order,pred_score,justification,clamped,raw_json
Average Essays/average_essay_80.docx,Average Essays/average_essay_80.docx,0,fewshot,reversed,9,"This personal essay demonstrates exceptional flow, structure, and thoughtful engagement with themes of love and responsibility, elevated by specific anecdotes and insightful reflection.",False,"[
  {
    ""id"": ""Average Essays/average_essay_80.docx"",
    ""pred_score"": 9,
    ""justification"": ""This personal essay demonstrates exceptional flow, structure, and thoughtful engagement with themes of love and responsibility, elevated by specific anecdotes and insightful reflection.""
  },
  {
    ""id"": ""Exceptional Essays/researchpaper34.docx"",
    ""pred_score"": 10,
    ""justification"": ""This research paper is exemplary in all dimensions, showcasing flawless academic writing, deep knowledge, rigorous structure, and significant intellectual contribution.""
  },
  {
    ""id"": ""Poor Essays/poor_essay_92.docx"",
    ""pred_score"": 1,
    ""justification"": ""This essay is fundamentally flawed with poor flow, absent transitions, superficial content, and a complete lack of structure and depth.""
  },
  {
    ""id"": ""Poor Essays/poor_essay_67.docx"",
    ""pred_score"": 4,
    ""justification"": ""The essay has a discernible structure and generally correct grammar, but its content lacks specificity and depth, presenting arguments with weak, un-cited evidence.""
  },
  {
    ""id"": ""Exceptional Essays/researchpaper64.docx"",
    ""pred_score"": 10,
    ""justification"": ""This academic paper is exemplary, featuring flawless writing, sophisticated structure, profound domain knowledge, and significant research contributions.""
  }
]"
Exceptional Essays/researchpaper34.docx,Exceptional Essays/researchpaper34.docx,1,fewshot,reversed,10,"This research paper is exemplary in all dimensions, showcasing flawless academic writing, deep knowledge, rigorous structure, and significant intellectual contribution.",False,"[
  {
    ""id"": ""Average Essays/average_essay_80.docx"",
    ""pred_score"": 9,
    ""justification"": ""This personal essay demonstrates exceptional flow, structure, and thoughtful engagement with themes of love and responsibility, elevated by specific anecdotes and insightful reflection.""
  },
  {
    ""id"": ""Exceptional Essays/researchpaper34.docx"",
    ""pred_score"": 10,
    ""justification"": ""This research paper is exemplary in all dimensions, showcasing flawless academic writing, deep knowledge, rigorous structure, and significant intellectual contribution.""
  },
  {
    ""id"": ""Poor Essays/poor_essay_92.docx"",
    ""pred_score"": 1,
    ""justification"": ""This essay is fundamentally flawed with poor flow, absent transitions, superficial content, and a complete lack of structure and depth.""
  },
  {
    ""id"": ""Poor Essays/poor_essay_67.docx"",
    ""pred_score"": 4,
    ""justification"": ""The essay has a discernible structure and generally correct grammar, but its content lacks specificity and depth, presenting arguments with weak, un-cited evidence.""
  },
  {
    ""id"": ""Exceptional Essays/researchpaper64.docx"",
    ""pred_score"": 10,
    ""justification"": ""This academic paper is exemplary, featuring flawless writing, sophisticated structure, profound domain knowledge, and significant research contributions.""
  }
]"
Poor Essays/poor_essay_92.docx,Poor Essays/poor_essay_92.docx,2,fewshot,reversed,1,"This essay is fundamentally flawed with poor flow, absent transitions, superficial content, and a complete lack of structure and depth.",False,"[
  {
    ""id"": ""Average Essays/average_essay_80.docx"",
    ""pred_score"": 9,
    ""justification"": ""This personal essay demonstrates exceptional flow, structure, and thoughtful engagement with themes of love and responsibility, elevated by specific anecdotes and insightful reflection.""
  },
  {
    ""id"": ""Exceptional Essays/researchpaper34.docx"",
    ""pred_score"": 10,
    ""justification"": ""This research paper is exemplary in all dimensions, showcasing flawless academic writing, deep knowledge, rigorous structure, and significant intellectual contribution.""
  },
  {
    ""id"": ""Poor Essays/poor_essay_92.docx"",
    ""pred_score"": 1,
    ""justification"": ""This essay is fundamentally flawed with poor flow, absent transitions, superficial content, and a complete lack of structure and depth.""
  },
  {
    ""id"": ""Poor Essays/poor_essay_67.docx"",
    ""pred_score"": 4,
    ""justification"": ""The essay has a discernible structure and generally correct grammar, but its content lacks specificity and depth, presenting arguments with weak, un-cited evidence.""
  },
  {
    ""id"": ""Exceptional Essays/researchpaper64.docx"",
    ""pred_score"": 10,
    ""justification"": ""This academic paper is exemplary, featuring flawless writing, sophisticated structure, profound domain knowledge, and significant research contributions.""
  }
]"
Poor Essays/poor_essay_67.docx,Poor Essays/poor_essay_67.docx,3,fewshot,reversed,4,"The essay has a discernible structure and generally correct grammar, but its content lacks specificity and depth, presenting arguments with weak, un-cited evidence.",False,"[
  {
    ""id"": ""Average Essays/average_essay_80.docx"",
    ""pred_score"": 9,
    ""justification"": ""This personal essay demonstrates exceptional flow, structure, and thoughtful engagement with themes of love and responsibility, elevated by specific anecdotes and insightful reflection.""
  },
  {
    ""id"": ""Exceptional Essays/researchpaper34.docx"",
    ""pred_score"": 10,
    ""justification"": ""This research paper is exemplary in all dimensions, showcasing flawless academic writing, deep knowledge, rigorous structure, and significant intellectual contribution.""
  },
  {
    ""id"": ""Poor Essays/poor_essay_92.docx"",
    ""pred_score"": 1,
    ""justification"": ""This essay is fundamentally flawed with poor flow, absent transitions, superficial content, and a complete lack of structure and depth.""
  },
  {
    ""id"": ""Poor Essays/poor_essay_67.docx"",
    ""pred_score"": 4,
    ""justification"": ""The essay has a discernible structure and generally correct grammar, but its content lacks specificity and depth, presenting arguments with weak, un-cited evidence.""
  },
  {
    ""id"": ""Exceptional Essays/researchpaper64.docx"",
    ""pred_score"": 10,
    ""justification"": ""This academic paper is exemplary, featuring flawless writing, sophisticated structure, profound domain knowledge, and significant research contributions.""
  }
]"
Exceptional Essays/researchpaper64.docx,Exceptional Essays/researchpaper64.docx,4,fewshot,reversed,10,"This academic paper is exemplary, featuring flawless writing, sophisticated structure, profound domain knowledge, and significant research contributions.",False,"[
  {
    ""id"": ""Average Essays/average_essay_80.docx"",
    ""pred_score"": 9,
    ""justification"": ""This personal essay demonstrates exceptional flow, structure, and thoughtful engagement with themes of love and responsibility, elevated by specific anecdotes and insightful reflection.""
  },
  {
    ""id"": ""Exceptional Essays/researchpaper34.docx"",
    ""pred_score"": 10,
    ""justification"": ""This research paper is exemplary in all dimensions, showcasing flawless academic writing, deep knowledge, rigorous structure, and significant intellectual contribution.""
  },
  {
    ""id"": ""Poor Essays/poor_essay_92.docx"",
    ""pred_score"": 1,
    ""justification"": ""This essay is fundamentally flawed with poor flow, absent transitions, superficial content, and a complete lack of structure and depth.""
  },
  {
    ""id"": ""Poor Essays/poor_essay_67.docx"",
    ""pred_score"": 4,
    ""justification"": ""The essay has a discernible structure and generally correct grammar, but its content lacks specificity and depth, presenting arguments with weak, un-cited evidence.""
  },
  {
    ""id"": ""Exceptional Essays/researchpaper64.docx"",
    ""pred_score"": 10,
    ""justification"": ""This academic paper is exemplary, featuring flawless writing, sophisticated structure, profound domain knowledge, and significant research contributions.""
  }
]"
Exceptional Essays/researchpaper76.docx,Exceptional Essays/researchpaper76.docx,0,fewshot,reversed,10,"This exemplary academic paper demonstrates flawless execution across all dimensions, showcasing deep technical knowledge, clear articulation of complex research, and a highly polished, well-structured presentation.",False,"[
  {
    ""id"": ""Exceptional Essays/researchpaper76.docx"",
    ""pred_score"": 10,
    ""justification"": ""This exemplary academic paper demonstrates flawless execution across all dimensions, showcasing deep technical knowledge, clear articulation of complex research, and a highly polished, well-structured presentation.""
  },
  {
    ""id"": ""Poor Essays/poor_essay_7.docx"",
    ""pred_score"": 2,
    ""justification"": ""This essay is fundamentally flawed due to its extremely basic content and minimal depth, offering only superficial facts without any thoughtful engagement or developed ideas.""
  },
  {
    ""id"": ""Exceptional Essays/researchpaper12.docx"",
    ""pred_score"": 10,
    ""justification"": ""This is a polished and insightful academic paper that expertly defines a novel problem in two-sided matching and proposes a well-structured, theoretically grounded solution with outstanding clarity and flow.""
  },
  {
    ""id"": ""Average Essays/average_essay_34.docx"",
    ""pred_score"": 4,
    ""justification"": ""The essay provides vivid descriptions but is weakened by multiple grammatical errors, run-on sentences, and a lack of strong conceptual transitions, hindering overall clarity and professionalism.""
  },
  {
    ""id"": ""Exceptional Essays/researchpaper39.docx"",
    ""pred_score"": 10,
    ""justification"": ""This essay demonstrates exemplary academic rigor, presenting a complex technical topic with outstanding clarity, flow, and depth, while maintaining flawless grammar and a highly logical structure.""
  }
]"
Poor Essays/poor_essay_7.docx,Poor Essays/poor_essay_7.docx,1,fewshot,reversed,2,"This essay is fundamentally flawed due to its extremely basic content and minimal depth, offering only superficial facts without any thoughtful engagement or developed ideas.",False,"[
  {
    ""id"": ""Exceptional Essays/researchpaper76.docx"",
    ""pred_score"": 10,
    ""justification"": ""This exemplary academic paper demonstrates flawless execution across all dimensions, showcasing deep technical knowledge, clear articulation of complex research, and a highly polished, well-structured presentation.""
  },
  {
    ""id"": ""Poor Essays/poor_essay_7.docx"",
    ""pred_score"": 2,
    ""justification"": ""This essay is fundamentally flawed due to its extremely basic content and minimal depth, offering only superficial facts without any thoughtful engagement or developed ideas.""
  },
  {
    ""id"": ""Exceptional Essays/researchpaper12.docx"",
    ""pred_score"": 10,
    ""justification"": ""This is a polished and insightful academic paper that expertly defines a novel problem in two-sided matching and proposes a well-structured, theoretically grounded solution with outstanding clarity and flow.""
  },
  {
    ""id"": ""Average Essays/average_essay_34.docx"",
    ""pred_score"": 4,
    ""justification"": ""The essay provides vivid descriptions but is weakened by multiple grammatical errors, run-on sentences, and a lack of strong conceptual transitions, hindering overall clarity and professionalism.""
  },
  {
    ""id"": ""Exceptional Essays/researchpaper39.docx"",
    ""pred_score"": 10,
    ""justification"": ""This essay demonstrates exemplary academic rigor, presenting a complex technical topic with outstanding clarity, flow, and depth, while maintaining flawless grammar and a highly logical structure.""
  }
]"
Exceptional Essays/researchpaper12.docx,Exceptional Essays/researchpaper12.docx,2,fewshot,reversed,10,"This is a polished and insightful academic paper that expertly defines a novel problem in two-sided matching and proposes a well-structured, theoretically grounded solution with outstanding clarity and flow.",False,"[
  {
    ""id"": ""Exceptional Essays/researchpaper76.docx"",
    ""pred_score"": 10,
    ""justification"": ""This exemplary academic paper demonstrates flawless execution across all dimensions, showcasing deep technical knowledge, clear articulation of complex research, and a highly polished, well-structured presentation.""
  },
  {
    ""id"": ""Poor Essays/poor_essay_7.docx"",
    ""pred_score"": 2,
    ""justification"": ""This essay is fundamentally flawed due to its extremely basic content and minimal depth, offering only superficial facts without any thoughtful engagement or developed ideas.""
  },
  {
    ""id"": ""Exceptional Essays/researchpaper12.docx"",
    ""pred_score"": 10,
    ""justification"": ""This is a polished and insightful academic paper that expertly defines a novel problem in two-sided matching and proposes a well-structured, theoretically grounded solution with outstanding clarity and flow.""
  },
  {
    ""id"": ""Average Essays/average_essay_34.docx"",
    ""pred_score"": 4,
    ""justification"": ""The essay provides vivid descriptions but is weakened by multiple grammatical errors, run-on sentences, and a lack of strong conceptual transitions, hindering overall clarity and professionalism.""
  },
  {
    ""id"": ""Exceptional Essays/researchpaper39.docx"",
    ""pred_score"": 10,
    ""justification"": ""This essay demonstrates exemplary academic rigor, presenting a complex technical topic with outstanding clarity, flow, and depth, while maintaining flawless grammar and a highly logical structure.""
  }
]"
Average Essays/average_essay_34.docx,Average Essays/average_essay_34.docx,3,fewshot,reversed,4,"The essay provides vivid descriptions but is weakened by multiple grammatical errors, run-on sentences, and a lack of strong conceptual transitions, hindering overall clarity and professionalism.",False,"[
  {
    ""id"": ""Exceptional Essays/researchpaper76.docx"",
    ""pred_score"": 10,
    ""justification"": ""This exemplary academic paper demonstrates flawless execution across all dimensions, showcasing deep technical knowledge, clear articulation of complex research, and a highly polished, well-structured presentation.""
  },
  {
    ""id"": ""Poor Essays/poor_essay_7.docx"",
    ""pred_score"": 2,
    ""justification"": ""This essay is fundamentally flawed due to its extremely basic content and minimal depth, offering only superficial facts without any thoughtful engagement or developed ideas.""
  },
  {
    ""id"": ""Exceptional Essays/researchpaper12.docx"",
    ""pred_score"": 10,
    ""justification"": ""This is a polished and insightful academic paper that expertly defines a novel problem in two-sided matching and proposes a well-structured, theoretically grounded solution with outstanding clarity and flow.""
  },
  {
    ""id"": ""Average Essays/average_essay_34.docx"",
    ""pred_score"": 4,
    ""justification"": ""The essay provides vivid descriptions but is weakened by multiple grammatical errors, run-on sentences, and a lack of strong conceptual transitions, hindering overall clarity and professionalism.""
  },
  {
    ""id"": ""Exceptional Essays/researchpaper39.docx"",
    ""pred_score"": 10,
    ""justification"": ""This essay demonstrates exemplary academic rigor, presenting a complex technical topic with outstanding clarity, flow, and depth, while maintaining flawless grammar and a highly logical structure.""
  }
]"
Exceptional Essays/researchpaper39.docx,Exceptional Essays/researchpaper39.docx,4,fewshot,reversed,10,"This essay demonstrates exemplary academic rigor, presenting a complex technical topic with outstanding clarity, flow, and depth, while maintaining flawless grammar and a highly logical structure.",False,"[
  {
    ""id"": ""Exceptional Essays/researchpaper76.docx"",
    ""pred_score"": 10,
    ""justification"": ""This exemplary academic paper demonstrates flawless execution across all dimensions, showcasing deep technical knowledge, clear articulation of complex research, and a highly polished, well-structured presentation.""
  },
  {
    ""id"": ""Poor Essays/poor_essay_7.docx"",
    ""pred_score"": 2,
    ""justification"": ""This essay is fundamentally flawed due to its extremely basic content and minimal depth, offering only superficial facts without any thoughtful engagement or developed ideas.""
  },
  {
    ""id"": ""Exceptional Essays/researchpaper12.docx"",
    ""pred_score"": 10,
    ""justification"": ""This is a polished and insightful academic paper that expertly defines a novel problem in two-sided matching and proposes a well-structured, theoretically grounded solution with outstanding clarity and flow.""
  },
  {
    ""id"": ""Average Essays/average_essay_34.docx"",
    ""pred_score"": 4,
    ""justification"": ""The essay provides vivid descriptions but is weakened by multiple grammatical errors, run-on sentences, and a lack of strong conceptual transitions, hindering overall clarity and professionalism.""
  },
  {
    ""id"": ""Exceptional Essays/researchpaper39.docx"",
    ""pred_score"": 10,
    ""justification"": ""This essay demonstrates exemplary academic rigor, presenting a complex technical topic with outstanding clarity, flow, and depth, while maintaining flawless grammar and a highly logical structure.""
  }
]"
