sample_name          ,fewshot_original ,fewshot_reversed ,zeroshot_original ,zeroshot_reversed
essay0.docx          ,               1 ,               1 ,                3 ,                3
essay1.docx          ,               1 ,               1 ,                2 ,                2
essay10.docx         ,               3 ,               2 ,                3 ,                4
essay11.docx         ,               2 ,               2 ,                3 ,                3
essay12.docx         ,               2 ,               3 ,                4 ,                3
essay13.docx         ,               1 ,               1 ,                2 ,                3
essay14.docx         ,               4 ,               4 ,                4 ,                6
essay15.docx         ,               3 ,               3 ,                3 ,                4
essay16.docx         ,               4 ,               4 ,                5 ,                6
essay17.docx         ,               3 ,               2 ,                4 ,                4
essay18.docx         ,               3 ,               3 ,                4 ,                4
essay19.docx         ,               3 ,               3 ,                4 ,                3
essay2.docx          ,               2 ,               1 ,                2 ,                2
essay20.docx         ,               2 ,               2 ,                4 ,                3
essay21.docx         ,               3 ,               3 ,                5 ,                4
essay22.docx         ,               2 ,               2 ,                2 ,                4
essay23.docx         ,               2 ,               2 ,                3 ,                2
essay24.docx         ,               3 ,               3 ,                3 ,                3
essay25.docx         ,               5 ,               6 ,                9 ,                8
essay26.docx         ,               5 ,               4 ,                7 ,                6
essay27.docx         ,               3 ,               4 ,                4 ,                6
essay28.docx         ,               6 ,               6 ,                7 ,                6
essay29.docx         ,               5 ,               4 ,                8 ,                8
essay3.docx          ,               1 ,               2 ,                2 ,                2
essay30.docx         ,               3 ,               5 ,                6 ,                8
essay31.docx         ,               5 ,               5 ,                6 ,                7
essay32.docx         ,               3 ,               4 ,                5 ,                6
essay33.docx         ,               5 ,               6 ,                7 ,                7
essay34.docx         ,               4 ,               4 ,                5 ,                6
essay35.docx         ,               4 ,               5 ,                6 ,                7
essay36.docx         ,               3 ,               2 ,                5 ,                4
essay37.docx         ,               7 ,               4 ,                4 ,                6
essay38.docx         ,               3 ,               4 ,                5 ,                6
essay39.docx         ,               2 ,               3 ,                2 ,                4
essay4.docx          ,               1 ,               2 ,                3 ,                3
essay40.docx         ,               2 ,               4 ,                3 ,                5
essay41.docx         ,               2 ,               4 ,                4 ,                5
essay42.docx         ,               4 ,               6 ,                5 ,                7
essay43.docx         ,               3 ,               2 ,                2 ,                4
essay44.docx         ,               6 ,               6 ,                8 ,                7
essay45.docx         ,               7 ,               4 ,                6 ,                6
essay46.docx         ,               5 ,               6 ,                7 ,                7
essay47.docx         ,               4 ,               5 ,                4 ,                6
essay48.docx         ,               6 ,               5 ,                6 ,                5
essay49.docx         ,               4 ,               6 ,                6 ,                6
essay5.docx          ,               1 ,               2 ,                2 ,                3
essay50.docx         ,               6 ,               4 ,                7 ,                6
essay51.docx         ,               4 ,               6 ,                7 ,                8
essay52.docx         ,               2 ,               3 ,                3 ,                3
essay53.docx         ,               4 ,               6 ,                7 ,                6
essay54.docx         ,               3 ,               4 ,                6 ,                7
essay55.docx         ,               2 ,               2 ,                3 ,                3
essay56.docx         ,               3 ,               3 ,                4 ,                4
essay57.docx         ,               3 ,               3 ,                4 ,                4
essay58.docx         ,               6 ,               5 ,                7 ,                7
essay59.docx         ,               4 ,               3 ,                4 ,                5
essay6.docx          ,               2 ,               2 ,                3 ,                4
essay60.docx         ,               6 ,               6 ,                5 ,                6
essay61.docx         ,               7 ,               6 ,                7 ,                7
essay62.docx         ,               8 ,               8 ,                8 ,                9
essay63.docx         ,               9 ,               6 ,                8 ,                8
essay64.docx         ,               6 ,               8 ,                8 ,                9
essay65.docx         ,               7 ,               8 ,                8 ,                9
essay66.docx         ,               9 ,               8 ,                9 ,                9
essay67.docx         ,               9 ,               8 ,                9 ,                9
essay68.docx         ,               6 ,               7 ,                7 ,                7
essay69.docx         ,               7 ,               8 ,                9 ,                9
essay7.docx          ,               3 ,               3 ,                6 ,                4
essay70.docx         ,               6 ,               8 ,                9 ,                9
essay71.docx         ,               7 ,               7 ,                7 ,                8
essay72.docx         ,               4 ,               2 ,                8 ,                8
essay73.docx         ,               6 ,               7 ,                7 ,                8
essay74.docx         ,               8 ,               7 ,                8 ,                8
essay75.docx         ,               4 ,               4 ,                4 ,                5
essay76.docx         ,               7 ,               8 ,                8 ,                9
