id,sample_name,position_in_run,mode,order,pred_score,justification,clamped,raw_json
Exceptional Essays/researchpaper64.docx,Exceptional Essays/researchpaper64.docx,0,zeroshot,original,10,"The essay demonstrates exemplary academic writing with deep domain knowledge, impeccable structure, clear flow, and perfect grammar, offering insightful and well-supported content.",False,"[
  {
    ""id"": ""Exceptional Essays/researchpaper64.docx"",
    ""pred_score"": 10,
    ""justification"": ""The essay demonstrates exemplary academic writing with deep domain knowledge, impeccable structure, clear flow, and perfect grammar, offering insightful and well-supported content.""
  },
  {
    ""id"": ""Poor Essays/poor_essay_67.docx"",
    ""pred_score"": 7,
    ""justification"": ""The essay is well-structured and clearly articulates its argument with good flow and transitions, but its content depth and specific evidence could be more robust and sourced for a higher score.""
  },
  {
    ""id"": ""Poor Essays/poor_essay_92.docx"",
    ""pred_score"": 2,
    ""justification"": ""The essay is fundamentally flawed with very poor grammar, sentence flow, and a complete lack of structure and paragraphing, offering only a minimal and disjointed summary of the book.""
  },
  {
    ""id"": ""Exceptional Essays/researchpaper34.docx"",
    ""pred_score"": 10,
    ""justification"": ""This exemplary essay demonstrates profound knowledge and clear focus through sophisticated academic language, flawless structure, and excellent transitions, presenting complex AI safety concepts with precision.""
  },
  {
    ""id"": ""Average Essays/average_essay_80.docx"",
    ""pred_score"": 9,
    ""justification"": ""The essay is beautifully written with strong flow, excellent grammar, and a clear, heartfelt narrative that thoughtfully explores themes of love and responsibility through vivid personal experience.""
  }
]"
Poor Essays/poor_essay_67.docx,Poor Essays/poor_essay_67.docx,1,zeroshot,original,7,"The essay is well-structured and clearly articulates its argument with good flow and transitions, but its content depth and specific evidence could be more robust and sourced for a higher score.",False,"[
  {
    ""id"": ""Exceptional Essays/researchpaper64.docx"",
    ""pred_score"": 10,
    ""justification"": ""The essay demonstrates exemplary academic writing with deep domain knowledge, impeccable structure, clear flow, and perfect grammar, offering insightful and well-supported content.""
  },
  {
    ""id"": ""Poor Essays/poor_essay_67.docx"",
    ""pred_score"": 7,
    ""justification"": ""The essay is well-structured and clearly articulates its argument with good flow and transitions, but its content depth and specific evidence could be more robust and sourced for a higher score.""
  },
  {
    ""id"": ""Poor Essays/poor_essay_92.docx"",
    ""pred_score"": 2,
    ""justification"": ""The essay is fundamentally flawed with very poor grammar, sentence flow, and a complete lack of structure and paragraphing, offering only a minimal and disjointed summary of the book.""
  },
  {
    ""id"": ""Exceptional Essays/researchpaper34.docx"",
    ""pred_score"": 10,
    ""justification"": ""This exemplary essay demonstrates profound knowledge and clear focus through sophisticated academic language, flawless structure, and excellent transitions, presenting complex AI safety concepts with precision.""
  },
  {
    ""id"": ""Average Essays/average_essay_80.docx"",
    ""pred_score"": 9,
    ""justification"": ""The essay is beautifully written with strong flow, excellent grammar, and a clear, heartfelt narrative that thoughtfully explores themes of love and responsibility through vivid personal experience.""
  }
]"
Poor Essays/poor_essay_92.docx,Poor Essays/poor_essay_92.docx,2,zeroshot,original,2,"The essay is fundamentally flawed with very poor grammar, sentence flow, and a complete lack of structure and paragraphing, offering only a minimal and disjointed summary of the book.",False,"[
  {
    ""id"": ""Exceptional Essays/researchpaper64.docx"",
    ""pred_score"": 10,
    ""justification"": ""The essay demonstrates exemplary academic writing with deep domain knowledge, impeccable structure, clear flow, and perfect grammar, offering insightful and well-supported content.""
  },
  {
    ""id"": ""Poor Essays/poor_essay_67.docx"",
    ""pred_score"": 7,
    ""justification"": ""The essay is well-structured and clearly articulates its argument with good flow and transitions, but its content depth and specific evidence could be more robust and sourced for a higher score.""
  },
  {
    ""id"": ""Poor Essays/poor_essay_92.docx"",
    ""pred_score"": 2,
    ""justification"": ""The essay is fundamentally flawed with very poor grammar, sentence flow, and a complete lack of structure and paragraphing, offering only a minimal and disjointed summary of the book.""
  },
  {
    ""id"": ""Exceptional Essays/researchpaper34.docx"",
    ""pred_score"": 10,
    ""justification"": ""This exemplary essay demonstrates profound knowledge and clear focus through sophisticated academic language, flawless structure, and excellent transitions, presenting complex AI safety concepts with precision.""
  },
  {
    ""id"": ""Average Essays/average_essay_80.docx"",
    ""pred_score"": 9,
    ""justification"": ""The essay is beautifully written with strong flow, excellent grammar, and a clear, heartfelt narrative that thoughtfully explores themes of love and responsibility through vivid personal experience.""
  }
]"
Exceptional Essays/researchpaper34.docx,Exceptional Essays/researchpaper34.docx,3,zeroshot,original,10,"This exemplary essay demonstrates profound knowledge and clear focus through sophisticated academic language, flawless structure, and excellent transitions, presenting complex AI safety concepts with precision.",False,"[
  {
    ""id"": ""Exceptional Essays/researchpaper64.docx"",
    ""pred_score"": 10,
    ""justification"": ""The essay demonstrates exemplary academic writing with deep domain knowledge, impeccable structure, clear flow, and perfect grammar, offering insightful and well-supported content.""
  },
  {
    ""id"": ""Poor Essays/poor_essay_67.docx"",
    ""pred_score"": 7,
    ""justification"": ""The essay is well-structured and clearly articulates its argument with good flow and transitions, but its content depth and specific evidence could be more robust and sourced for a higher score.""
  },
  {
    ""id"": ""Poor Essays/poor_essay_92.docx"",
    ""pred_score"": 2,
    ""justification"": ""The essay is fundamentally flawed with very poor grammar, sentence flow, and a complete lack of structure and paragraphing, offering only a minimal and disjointed summary of the book.""
  },
  {
    ""id"": ""Exceptional Essays/researchpaper34.docx"",
    ""pred_score"": 10,
    ""justification"": ""This exemplary essay demonstrates profound knowledge and clear focus through sophisticated academic language, flawless structure, and excellent transitions, presenting complex AI safety concepts with precision.""
  },
  {
    ""id"": ""Average Essays/average_essay_80.docx"",
    ""pred_score"": 9,
    ""justification"": ""The essay is beautifully written with strong flow, excellent grammar, and a clear, heartfelt narrative that thoughtfully explores themes of love and responsibility through vivid personal experience.""
  }
]"
Average Essays/average_essay_80.docx,Average Essays/average_essay_80.docx,4,zeroshot,original,9,"The essay is beautifully written with strong flow, excellent grammar, and a clear, heartfelt narrative that thoughtfully explores themes of love and responsibility through vivid personal experience.",False,"[
  {
    ""id"": ""Exceptional Essays/researchpaper64.docx"",
    ""pred_score"": 10,
    ""justification"": ""The essay demonstrates exemplary academic writing with deep domain knowledge, impeccable structure, clear flow, and perfect grammar, offering insightful and well-supported content.""
  },
  {
    ""id"": ""Poor Essays/poor_essay_67.docx"",
    ""pred_score"": 7,
    ""justification"": ""The essay is well-structured and clearly articulates its argument with good flow and transitions, but its content depth and specific evidence could be more robust and sourced for a higher score.""
  },
  {
    ""id"": ""Poor Essays/poor_essay_92.docx"",
    ""pred_score"": 2,
    ""justification"": ""The essay is fundamentally flawed with very poor grammar, sentence flow, and a complete lack of structure and paragraphing, offering only a minimal and disjointed summary of the book.""
  },
  {
    ""id"": ""Exceptional Essays/researchpaper34.docx"",
    ""pred_score"": 10,
    ""justification"": ""This exemplary essay demonstrates profound knowledge and clear focus through sophisticated academic language, flawless structure, and excellent transitions, presenting complex AI safety concepts with precision.""
  },
  {
    ""id"": ""Average Essays/average_essay_80.docx"",
    ""pred_score"": 9,
    ""justification"": ""The essay is beautifully written with strong flow, excellent grammar, and a clear, heartfelt narrative that thoughtfully explores themes of love and responsibility through vivid personal experience.""
  }
]"
Exceptional Essays/researchpaper39.docx,Exceptional Essays/researchpaper39.docx,0,zeroshot,original,10,"This excerpt from a research paper demonstrates exemplary clarity, sophisticated content, deep knowledge, and flawless structure and grammar, indicative of top-tier academic writing.",False,"[
  {
    ""id"": ""Exceptional Essays/researchpaper39.docx"",
    ""pred_score"": 10,
    ""justification"": ""This excerpt from a research paper demonstrates exemplary clarity, sophisticated content, deep knowledge, and flawless structure and grammar, indicative of top-tier academic writing.""
  },
  {
    ""id"": ""Average Essays/average_essay_34.docx"",
    ""pred_score"": 5,
    ""justification"": ""This essay has a descriptive quality but suffers from inconsistent flow, weak transitions, several grammatical errors (e.g., 'tot he,' 'cemetary'), and a lack of refined structure with long, undifferentiated paragraphs.""
  },
  {
    ""id"": ""Exceptional Essays/researchpaper12.docx"",
    ""pred_score"": 10,
    ""justification"": ""This research paper excerpt is exceptionally well-written, displaying outstanding content quality, logical progression, profound domain knowledge, and impeccable grammar and structure.""
  },
  {
    ""id"": ""Poor Essays/poor_essay_7.docx"",
    ""pred_score"": 2,
    ""justification"": ""The essay is fundamentally simplistic, providing only basic facts with very choppy flow, minimal transitions, superficial content, and a very underdeveloped structure.""
  },
  {
    ""id"": ""Exceptional Essays/researchpaper76.docx"",
    ""pred_score"": 10,
    ""justification"": ""An exemplary research paper introduction and conclusion, demonstrating superb flow, coherent transitions, highly specialized and deep content, and a professional, flawless presentation.""
  }
]"
Average Essays/average_essay_34.docx,Average Essays/average_essay_34.docx,1,zeroshot,original,5,"This essay has a descriptive quality but suffers from inconsistent flow, weak transitions, several grammatical errors (e.g., 'tot he,' 'cemetary'), and a lack of refined structure with long, undifferentiated paragraphs.",False,"[
  {
    ""id"": ""Exceptional Essays/researchpaper39.docx"",
    ""pred_score"": 10,
    ""justification"": ""This excerpt from a research paper demonstrates exemplary clarity, sophisticated content, deep knowledge, and flawless structure and grammar, indicative of top-tier academic writing.""
  },
  {
    ""id"": ""Average Essays/average_essay_34.docx"",
    ""pred_score"": 5,
    ""justification"": ""This essay has a descriptive quality but suffers from inconsistent flow, weak transitions, several grammatical errors (e.g., 'tot he,' 'cemetary'), and a lack of refined structure with long, undifferentiated paragraphs.""
  },
  {
    ""id"": ""Exceptional Essays/researchpaper12.docx"",
    ""pred_score"": 10,
    ""justification"": ""This research paper excerpt is exceptionally well-written, displaying outstanding content quality, logical progression, profound domain knowledge, and impeccable grammar and structure.""
  },
  {
    ""id"": ""Poor Essays/poor_essay_7.docx"",
    ""pred_score"": 2,
    ""justification"": ""The essay is fundamentally simplistic, providing only basic facts with very choppy flow, minimal transitions, superficial content, and a very underdeveloped structure.""
  },
  {
    ""id"": ""Exceptional Essays/researchpaper76.docx"",
    ""pred_score"": 10,
    ""justification"": ""An exemplary research paper introduction and conclusion, demonstrating superb flow, coherent transitions, highly specialized and deep content, and a professional, flawless presentation.""
  }
]"
Exceptional Essays/researchpaper12.docx,Exceptional Essays/researchpaper12.docx,2,zeroshot,original,10,"This research paper excerpt is exceptionally well-written, displaying outstanding content quality, logical progression, profound domain knowledge, and impeccable grammar and structure.",False,"[
  {
    ""id"": ""Exceptional Essays/researchpaper39.docx"",
    ""pred_score"": 10,
    ""justification"": ""This excerpt from a research paper demonstrates exemplary clarity, sophisticated content, deep knowledge, and flawless structure and grammar, indicative of top-tier academic writing.""
  },
  {
    ""id"": ""Average Essays/average_essay_34.docx"",
    ""pred_score"": 5,
    ""justification"": ""This essay has a descriptive quality but suffers from inconsistent flow, weak transitions, several grammatical errors (e.g., 'tot he,' 'cemetary'), and a lack of refined structure with long, undifferentiated paragraphs.""
  },
  {
    ""id"": ""Exceptional Essays/researchpaper12.docx"",
    ""pred_score"": 10,
    ""justification"": ""This research paper excerpt is exceptionally well-written, displaying outstanding content quality, logical progression, profound domain knowledge, and impeccable grammar and structure.""
  },
  {
    ""id"": ""Poor Essays/poor_essay_7.docx"",
    ""pred_score"": 2,
    ""justification"": ""The essay is fundamentally simplistic, providing only basic facts with very choppy flow, minimal transitions, superficial content, and a very underdeveloped structure.""
  },
  {
    ""id"": ""Exceptional Essays/researchpaper76.docx"",
    ""pred_score"": 10,
    ""justification"": ""An exemplary research paper introduction and conclusion, demonstrating superb flow, coherent transitions, highly specialized and deep content, and a professional, flawless presentation.""
  }
]"
Poor Essays/poor_essay_7.docx,Poor Essays/poor_essay_7.docx,3,zeroshot,original,2,"The essay is fundamentally simplistic, providing only basic facts with very choppy flow, minimal transitions, superficial content, and a very underdeveloped structure.",False,"[
  {
    ""id"": ""Exceptional Essays/researchpaper39.docx"",
    ""pred_score"": 10,
    ""justification"": ""This excerpt from a research paper demonstrates exemplary clarity, sophisticated content, deep knowledge, and flawless structure and grammar, indicative of top-tier academic writing.""
  },
  {
    ""id"": ""Average Essays/average_essay_34.docx"",
    ""pred_score"": 5,
    ""justification"": ""This essay has a descriptive quality but suffers from inconsistent flow, weak transitions, several grammatical errors (e.g., 'tot he,' 'cemetary'), and a lack of refined structure with long, undifferentiated paragraphs.""
  },
  {
    ""id"": ""Exceptional Essays/researchpaper12.docx"",
    ""pred_score"": 10,
    ""justification"": ""This research paper excerpt is exceptionally well-written, displaying outstanding content quality, logical progression, profound domain knowledge, and impeccable grammar and structure.""
  },
  {
    ""id"": ""Poor Essays/poor_essay_7.docx"",
    ""pred_score"": 2,
    ""justification"": ""The essay is fundamentally simplistic, providing only basic facts with very choppy flow, minimal transitions, superficial content, and a very underdeveloped structure.""
  },
  {
    ""id"": ""Exceptional Essays/researchpaper76.docx"",
    ""pred_score"": 10,
    ""justification"": ""An exemplary research paper introduction and conclusion, demonstrating superb flow, coherent transitions, highly specialized and deep content, and a professional, flawless presentation.""
  }
]"
Exceptional Essays/researchpaper76.docx,Exceptional Essays/researchpaper76.docx,4,zeroshot,original,10,"An exemplary research paper introduction and conclusion, demonstrating superb flow, coherent transitions, highly specialized and deep content, and a professional, flawless presentation.",False,"[
  {
    ""id"": ""Exceptional Essays/researchpaper39.docx"",
    ""pred_score"": 10,
    ""justification"": ""This excerpt from a research paper demonstrates exemplary clarity, sophisticated content, deep knowledge, and flawless structure and grammar, indicative of top-tier academic writing.""
  },
  {
    ""id"": ""Average Essays/average_essay_34.docx"",
    ""pred_score"": 5,
    ""justification"": ""This essay has a descriptive quality but suffers from inconsistent flow, weak transitions, several grammatical errors (e.g., 'tot he,' 'cemetary'), and a lack of refined structure with long, undifferentiated paragraphs.""
  },
  {
    ""id"": ""Exceptional Essays/researchpaper12.docx"",
    ""pred_score"": 10,
    ""justification"": ""This research paper excerpt is exceptionally well-written, displaying outstanding content quality, logical progression, profound domain knowledge, and impeccable grammar and structure.""
  },
  {
    ""id"": ""Poor Essays/poor_essay_7.docx"",
    ""pred_score"": 2,
    ""justification"": ""The essay is fundamentally simplistic, providing only basic facts with very choppy flow, minimal transitions, superficial content, and a very underdeveloped structure.""
  },
  {
    ""id"": ""Exceptional Essays/researchpaper76.docx"",
    ""pred_score"": 10,
    ""justification"": ""An exemplary research paper introduction and conclusion, demonstrating superb flow, coherent transitions, highly specialized and deep content, and a professional, flawless presentation.""
  }
]"
