id,sample_name,position_in_run,mode,order,pred_score,justification,clamped,raw_json
researchpaper8.docx,researchpaper8.docx,0,zeroshot,reversed,10,"This is a professional academic paper with sophisticated vocabulary, clear logical progression, and a highly rigorous methodology and evaluation framework.",False,"[
  {
    ""id"": ""researchpaper8.docx"",
    ""pred_score"": 10,
    ""justification"": ""This is a professional academic paper with sophisticated vocabulary, clear logical progression, and a highly rigorous methodology and evaluation framework.""
  },
  {
    ""id"": ""essay0.docx"",
    ""pred_score"": 3,
    ""justification"": ""The writing is extremely basic with repetitive sentence structures and minimal detail, reflecting a very early stage of writing development.""
  },
  {
    ""id"": ""essay34.docx"",
    ""pred_score"": 6,
    ""justification"": ""The essay is well-organized and clearly written with a defined structure and personal engagement, though it remains relatively simple in its analysis.""
  },
  {
    ""id"": ""essay79.docx"",
    ""pred_score"": 9,
    ""justification"": ""This is an impressively detailed and creative personification of national history, demonstrating deep research, excellent flow, and professional-grade structural organization.""
  },
  {
    ""id"": ""essay2.docx"",
    ""pred_score"": 2,
    ""justification"": ""The text is a very brief collection of simple sentences with minimal content, no transitions, and some logical inconsistency regarding seasonal characteristics.""
  }
]"
essay0.docx,essay0.docx,1,zeroshot,reversed,3,"The writing is extremely basic with repetitive sentence structures and minimal detail, reflecting a very early stage of writing development.",False,"[
  {
    ""id"": ""researchpaper8.docx"",
    ""pred_score"": 10,
    ""justification"": ""This is a professional academic paper with sophisticated vocabulary, clear logical progression, and a highly rigorous methodology and evaluation framework.""
  },
  {
    ""id"": ""essay0.docx"",
    ""pred_score"": 3,
    ""justification"": ""The writing is extremely basic with repetitive sentence structures and minimal detail, reflecting a very early stage of writing development.""
  },
  {
    ""id"": ""essay34.docx"",
    ""pred_score"": 6,
    ""justification"": ""The essay is well-organized and clearly written with a defined structure and personal engagement, though it remains relatively simple in its analysis.""
  },
  {
    ""id"": ""essay79.docx"",
    ""pred_score"": 9,
    ""justification"": ""This is an impressively detailed and creative personification of national history, demonstrating deep research, excellent flow, and professional-grade structural organization.""
  },
  {
    ""id"": ""essay2.docx"",
    ""pred_score"": 2,
    ""justification"": ""The text is a very brief collection of simple sentences with minimal content, no transitions, and some logical inconsistency regarding seasonal characteristics.""
  }
]"
essay34.docx,essay34.docx,2,zeroshot,reversed,6,"The essay is well-organized and clearly written with a defined structure and personal engagement, though it remains relatively simple in its analysis.",False,"[
  {
    ""id"": ""researchpaper8.docx"",
    ""pred_score"": 10,
    ""justification"": ""This is a professional academic paper with sophisticated vocabulary, clear logical progression, and a highly rigorous methodology and evaluation framework.""
  },
  {
    ""id"": ""essay0.docx"",
    ""pred_score"": 3,
    ""justification"": ""The writing is extremely basic with repetitive sentence structures and minimal detail, reflecting a very early stage of writing development.""
  },
  {
    ""id"": ""essay34.docx"",
    ""pred_score"": 6,
    ""justification"": ""The essay is well-organized and clearly written with a defined structure and personal engagement, though it remains relatively simple in its analysis.""
  },
  {
    ""id"": ""essay79.docx"",
    ""pred_score"": 9,
    ""justification"": ""This is an impressively detailed and creative personification of national history, demonstrating deep research, excellent flow, and professional-grade structural organization.""
  },
  {
    ""id"": ""essay2.docx"",
    ""pred_score"": 2,
    ""justification"": ""The text is a very brief collection of simple sentences with minimal content, no transitions, and some logical inconsistency regarding seasonal characteristics.""
  }
]"
essay79.docx,essay79.docx,3,zeroshot,reversed,9,"This is an impressively detailed and creative personification of national history, demonstrating deep research, excellent flow, and professional-grade structural organization.",False,"[
  {
    ""id"": ""researchpaper8.docx"",
    ""pred_score"": 10,
    ""justification"": ""This is a professional academic paper with sophisticated vocabulary, clear logical progression, and a highly rigorous methodology and evaluation framework.""
  },
  {
    ""id"": ""essay0.docx"",
    ""pred_score"": 3,
    ""justification"": ""The writing is extremely basic with repetitive sentence structures and minimal detail, reflecting a very early stage of writing development.""
  },
  {
    ""id"": ""essay34.docx"",
    ""pred_score"": 6,
    ""justification"": ""The essay is well-organized and clearly written with a defined structure and personal engagement, though it remains relatively simple in its analysis.""
  },
  {
    ""id"": ""essay79.docx"",
    ""pred_score"": 9,
    ""justification"": ""This is an impressively detailed and creative personification of national history, demonstrating deep research, excellent flow, and professional-grade structural organization.""
  },
  {
    ""id"": ""essay2.docx"",
    ""pred_score"": 2,
    ""justification"": ""The text is a very brief collection of simple sentences with minimal content, no transitions, and some logical inconsistency regarding seasonal characteristics.""
  }
]"
essay2.docx,essay2.docx,4,zeroshot,reversed,2,"The text is a very brief collection of simple sentences with minimal content, no transitions, and some logical inconsistency regarding seasonal characteristics.",False,"[
  {
    ""id"": ""researchpaper8.docx"",
    ""pred_score"": 10,
    ""justification"": ""This is a professional academic paper with sophisticated vocabulary, clear logical progression, and a highly rigorous methodology and evaluation framework.""
  },
  {
    ""id"": ""essay0.docx"",
    ""pred_score"": 3,
    ""justification"": ""The writing is extremely basic with repetitive sentence structures and minimal detail, reflecting a very early stage of writing development.""
  },
  {
    ""id"": ""essay34.docx"",
    ""pred_score"": 6,
    ""justification"": ""The essay is well-organized and clearly written with a defined structure and personal engagement, though it remains relatively simple in its analysis.""
  },
  {
    ""id"": ""essay79.docx"",
    ""pred_score"": 9,
    ""justification"": ""This is an impressively detailed and creative personification of national history, demonstrating deep research, excellent flow, and professional-grade structural organization.""
  },
  {
    ""id"": ""essay2.docx"",
    ""pred_score"": 2,
    ""justification"": ""The text is a very brief collection of simple sentences with minimal content, no transitions, and some logical inconsistency regarding seasonal characteristics.""
  }
]"
essay29.docx,essay29.docx,0,zeroshot,reversed,8,"The letter follows a clear, logical structure with specific supporting examples and effective use of basic transitions.",False,"[
  {
    ""id"": ""essay29.docx"",
    ""pred_score"": 8,
    ""justification"": ""The letter follows a clear, logical structure with specific supporting examples and effective use of basic transitions.""
  },
  {
    ""id"": ""researchpaper95.docx"",
    ""pred_score"": 8,
    ""justification"": ""While demonstrating high academic depth and complex organization, the text is marred by several significant spelling and typographical errors.""
  },
  {
    ""id"": ""essay92.docx"",
    ""pred_score"": 5,
    ""justification"": ""The writing provides an adequate summary of the book but lacks proper paragraph structure and sophisticated transitions.""
  },
  {
    ""id"": ""essay0.docx"",
    ""pred_score"": 3,
    ""justification"": ""The essay is severely underdeveloped, lacking the detail, depth, and structural complexity required to meet the assignment criteria.""
  },
  {
    ""id"": ""essay64.docx"",
    ""pred_score"": 9,
    ""justification"": ""This is a polished and insightful essay that features a strong hook, well-integrated evidence, and a logical progression of ideas.""
  }
]"
researchpaper95.docx,researchpaper95.docx,1,zeroshot,reversed,8,"While demonstrating high academic depth and complex organization, the text is marred by several significant spelling and typographical errors.",False,"[
  {
    ""id"": ""essay29.docx"",
    ""pred_score"": 8,
    ""justification"": ""The letter follows a clear, logical structure with specific supporting examples and effective use of basic transitions.""
  },
  {
    ""id"": ""researchpaper95.docx"",
    ""pred_score"": 8,
    ""justification"": ""While demonstrating high academic depth and complex organization, the text is marred by several significant spelling and typographical errors.""
  },
  {
    ""id"": ""essay92.docx"",
    ""pred_score"": 5,
    ""justification"": ""The writing provides an adequate summary of the book but lacks proper paragraph structure and sophisticated transitions.""
  },
  {
    ""id"": ""essay0.docx"",
    ""pred_score"": 3,
    ""justification"": ""The essay is severely underdeveloped, lacking the detail, depth, and structural complexity required to meet the assignment criteria.""
  },
  {
    ""id"": ""essay64.docx"",
    ""pred_score"": 9,
    ""justification"": ""This is a polished and insightful essay that features a strong hook, well-integrated evidence, and a logical progression of ideas.""
  }
]"
essay92.docx,essay92.docx,2,zeroshot,reversed,5,The writing provides an adequate summary of the book but lacks proper paragraph structure and sophisticated transitions.,False,"[
  {
    ""id"": ""essay29.docx"",
    ""pred_score"": 8,
    ""justification"": ""The letter follows a clear, logical structure with specific supporting examples and effective use of basic transitions.""
  },
  {
    ""id"": ""researchpaper95.docx"",
    ""pred_score"": 8,
    ""justification"": ""While demonstrating high academic depth and complex organization, the text is marred by several significant spelling and typographical errors.""
  },
  {
    ""id"": ""essay92.docx"",
    ""pred_score"": 5,
    ""justification"": ""The writing provides an adequate summary of the book but lacks proper paragraph structure and sophisticated transitions.""
  },
  {
    ""id"": ""essay0.docx"",
    ""pred_score"": 3,
    ""justification"": ""The essay is severely underdeveloped, lacking the detail, depth, and structural complexity required to meet the assignment criteria.""
  },
  {
    ""id"": ""essay64.docx"",
    ""pred_score"": 9,
    ""justification"": ""This is a polished and insightful essay that features a strong hook, well-integrated evidence, and a logical progression of ideas.""
  }
]"
essay0.docx,essay0.docx,3,zeroshot,reversed,3,"The essay is severely underdeveloped, lacking the detail, depth, and structural complexity required to meet the assignment criteria.",False,"[
  {
    ""id"": ""essay29.docx"",
    ""pred_score"": 8,
    ""justification"": ""The letter follows a clear, logical structure with specific supporting examples and effective use of basic transitions.""
  },
  {
    ""id"": ""researchpaper95.docx"",
    ""pred_score"": 8,
    ""justification"": ""While demonstrating high academic depth and complex organization, the text is marred by several significant spelling and typographical errors.""
  },
  {
    ""id"": ""essay92.docx"",
    ""pred_score"": 5,
    ""justification"": ""The writing provides an adequate summary of the book but lacks proper paragraph structure and sophisticated transitions.""
  },
  {
    ""id"": ""essay0.docx"",
    ""pred_score"": 3,
    ""justification"": ""The essay is severely underdeveloped, lacking the detail, depth, and structural complexity required to meet the assignment criteria.""
  },
  {
    ""id"": ""essay64.docx"",
    ""pred_score"": 9,
    ""justification"": ""This is a polished and insightful essay that features a strong hook, well-integrated evidence, and a logical progression of ideas.""
  }
]"
essay64.docx,essay64.docx,4,zeroshot,reversed,9,"This is a polished and insightful essay that features a strong hook, well-integrated evidence, and a logical progression of ideas.",False,"[
  {
    ""id"": ""essay29.docx"",
    ""pred_score"": 8,
    ""justification"": ""The letter follows a clear, logical structure with specific supporting examples and effective use of basic transitions.""
  },
  {
    ""id"": ""researchpaper95.docx"",
    ""pred_score"": 8,
    ""justification"": ""While demonstrating high academic depth and complex organization, the text is marred by several significant spelling and typographical errors.""
  },
  {
    ""id"": ""essay92.docx"",
    ""pred_score"": 5,
    ""justification"": ""The writing provides an adequate summary of the book but lacks proper paragraph structure and sophisticated transitions.""
  },
  {
    ""id"": ""essay0.docx"",
    ""pred_score"": 3,
    ""justification"": ""The essay is severely underdeveloped, lacking the detail, depth, and structural complexity required to meet the assignment criteria.""
  },
  {
    ""id"": ""essay64.docx"",
    ""pred_score"": 9,
    ""justification"": ""This is a polished and insightful essay that features a strong hook, well-integrated evidence, and a logical progression of ideas.""
  }
]"
