id,sample_name,position_in_run,mode,order,pred_score,justification,clamped,raw_json
researchpaper8.docx,researchpaper8.docx,0,fewshot,reversed,10,"This is a highly sophisticated academic paper with impeccable structure, professional tone, and deep technical insight into MLLM evaluation benchmarks.",False,"[
  {
    ""id"": ""researchpaper8.docx"",
    ""pred_score"": 10,
    ""justification"": ""This is a highly sophisticated academic paper with impeccable structure, professional tone, and deep technical insight into MLLM evaluation benchmarks.""
  },
  {
    ""id"": ""essay0.docx"",
    ""pred_score"": 1,
    ""justification"": ""This piece is identical to Anchor C, exhibiting very basic vocabulary, repetitive sentence structure, and minimal depth of content.""
  },
  {
    ""id"": ""essay34.docx"",
    ""pred_score"": 4,
    ""justification"": ""While coherent and organized with a clear summary and theme, the essay is very brief and lacks the descriptive complexity found in middle-tier writing.""
  },
  {
    ""id"": ""essay79.docx"",
    ""pred_score"": 9,
    ""justification"": ""This is an exceptional creative essay that uses personification to weave together dense historical and cultural facts with excellent flow and thorough research.""
  },
  {
    ""id"": ""essay2.docx"",
    ""pred_score"": 1,
    ""justification"": ""The text is extremely rudimentary, consisting of only a few simple sentences with repetitive adjectives and very little informational value.""
  }
]"
essay0.docx,essay0.docx,1,fewshot,reversed,1,"This piece is identical to Anchor C, exhibiting very basic vocabulary, repetitive sentence structure, and minimal depth of content.",False,"[
  {
    ""id"": ""researchpaper8.docx"",
    ""pred_score"": 10,
    ""justification"": ""This is a highly sophisticated academic paper with impeccable structure, professional tone, and deep technical insight into MLLM evaluation benchmarks.""
  },
  {
    ""id"": ""essay0.docx"",
    ""pred_score"": 1,
    ""justification"": ""This piece is identical to Anchor C, exhibiting very basic vocabulary, repetitive sentence structure, and minimal depth of content.""
  },
  {
    ""id"": ""essay34.docx"",
    ""pred_score"": 4,
    ""justification"": ""While coherent and organized with a clear summary and theme, the essay is very brief and lacks the descriptive complexity found in middle-tier writing.""
  },
  {
    ""id"": ""essay79.docx"",
    ""pred_score"": 9,
    ""justification"": ""This is an exceptional creative essay that uses personification to weave together dense historical and cultural facts with excellent flow and thorough research.""
  },
  {
    ""id"": ""essay2.docx"",
    ""pred_score"": 1,
    ""justification"": ""The text is extremely rudimentary, consisting of only a few simple sentences with repetitive adjectives and very little informational value.""
  }
]"
essay34.docx,essay34.docx,2,fewshot,reversed,4,"While coherent and organized with a clear summary and theme, the essay is very brief and lacks the descriptive complexity found in middle-tier writing.",False,"[
  {
    ""id"": ""researchpaper8.docx"",
    ""pred_score"": 10,
    ""justification"": ""This is a highly sophisticated academic paper with impeccable structure, professional tone, and deep technical insight into MLLM evaluation benchmarks.""
  },
  {
    ""id"": ""essay0.docx"",
    ""pred_score"": 1,
    ""justification"": ""This piece is identical to Anchor C, exhibiting very basic vocabulary, repetitive sentence structure, and minimal depth of content.""
  },
  {
    ""id"": ""essay34.docx"",
    ""pred_score"": 4,
    ""justification"": ""While coherent and organized with a clear summary and theme, the essay is very brief and lacks the descriptive complexity found in middle-tier writing.""
  },
  {
    ""id"": ""essay79.docx"",
    ""pred_score"": 9,
    ""justification"": ""This is an exceptional creative essay that uses personification to weave together dense historical and cultural facts with excellent flow and thorough research.""
  },
  {
    ""id"": ""essay2.docx"",
    ""pred_score"": 1,
    ""justification"": ""The text is extremely rudimentary, consisting of only a few simple sentences with repetitive adjectives and very little informational value.""
  }
]"
essay79.docx,essay79.docx,3,fewshot,reversed,9,This is an exceptional creative essay that uses personification to weave together dense historical and cultural facts with excellent flow and thorough research.,False,"[
  {
    ""id"": ""researchpaper8.docx"",
    ""pred_score"": 10,
    ""justification"": ""This is a highly sophisticated academic paper with impeccable structure, professional tone, and deep technical insight into MLLM evaluation benchmarks.""
  },
  {
    ""id"": ""essay0.docx"",
    ""pred_score"": 1,
    ""justification"": ""This piece is identical to Anchor C, exhibiting very basic vocabulary, repetitive sentence structure, and minimal depth of content.""
  },
  {
    ""id"": ""essay34.docx"",
    ""pred_score"": 4,
    ""justification"": ""While coherent and organized with a clear summary and theme, the essay is very brief and lacks the descriptive complexity found in middle-tier writing.""
  },
  {
    ""id"": ""essay79.docx"",
    ""pred_score"": 9,
    ""justification"": ""This is an exceptional creative essay that uses personification to weave together dense historical and cultural facts with excellent flow and thorough research.""
  },
  {
    ""id"": ""essay2.docx"",
    ""pred_score"": 1,
    ""justification"": ""The text is extremely rudimentary, consisting of only a few simple sentences with repetitive adjectives and very little informational value.""
  }
]"
essay2.docx,essay2.docx,4,fewshot,reversed,1,"The text is extremely rudimentary, consisting of only a few simple sentences with repetitive adjectives and very little informational value.",False,"[
  {
    ""id"": ""researchpaper8.docx"",
    ""pred_score"": 10,
    ""justification"": ""This is a highly sophisticated academic paper with impeccable structure, professional tone, and deep technical insight into MLLM evaluation benchmarks.""
  },
  {
    ""id"": ""essay0.docx"",
    ""pred_score"": 1,
    ""justification"": ""This piece is identical to Anchor C, exhibiting very basic vocabulary, repetitive sentence structure, and minimal depth of content.""
  },
  {
    ""id"": ""essay34.docx"",
    ""pred_score"": 4,
    ""justification"": ""While coherent and organized with a clear summary and theme, the essay is very brief and lacks the descriptive complexity found in middle-tier writing.""
  },
  {
    ""id"": ""essay79.docx"",
    ""pred_score"": 9,
    ""justification"": ""This is an exceptional creative essay that uses personification to weave together dense historical and cultural facts with excellent flow and thorough research.""
  },
  {
    ""id"": ""essay2.docx"",
    ""pred_score"": 1,
    ""justification"": ""The text is extremely rudimentary, consisting of only a few simple sentences with repetitive adjectives and very little informational value.""
  }
]"
essay29.docx,essay29.docx,0,fewshot,reversed,4,The essay is logically organized and clear but relies on very basic vocabulary and a highly formulaic structure.,False,"[
  {
    ""id"": ""essay29.docx"",
    ""pred_score"": 4,
    ""justification"": ""The essay is logically organized and clear but relies on very basic vocabulary and a highly formulaic structure.""
  },
  {
    ""id"": ""researchpaper95.docx"",
    ""pred_score"": 10,
    ""justification"": ""This is a sophisticated, professional academic text with exceptional clarity, technical depth, and perfect structural organization.""
  },
  {
    ""id"": ""essay92.docx"",
    ""pred_score"": 3,
    ""justification"": ""The writing is juvenile and contains informal phrasing and mechanical errors, though it maintains a consistent focus on the book's plot.""
  },
  {
    ""id"": ""essay0.docx"",
    ""pred_score"": 1,
    ""justification"": ""The text is extremely brief, repetitive, and lacks the development or complexity required for a basic essay.""
  },
  {
    ""id"": ""essay64.docx"",
    ""pred_score"": 8,
    ""justification"": ""This essay is well-structured and engaging, utilizing specific evidence and clear transitions to support a thoughtful argument.""
  }
]"
researchpaper95.docx,researchpaper95.docx,1,fewshot,reversed,10,"This is a sophisticated, professional academic text with exceptional clarity, technical depth, and perfect structural organization.",False,"[
  {
    ""id"": ""essay29.docx"",
    ""pred_score"": 4,
    ""justification"": ""The essay is logically organized and clear but relies on very basic vocabulary and a highly formulaic structure.""
  },
  {
    ""id"": ""researchpaper95.docx"",
    ""pred_score"": 10,
    ""justification"": ""This is a sophisticated, professional academic text with exceptional clarity, technical depth, and perfect structural organization.""
  },
  {
    ""id"": ""essay92.docx"",
    ""pred_score"": 3,
    ""justification"": ""The writing is juvenile and contains informal phrasing and mechanical errors, though it maintains a consistent focus on the book's plot.""
  },
  {
    ""id"": ""essay0.docx"",
    ""pred_score"": 1,
    ""justification"": ""The text is extremely brief, repetitive, and lacks the development or complexity required for a basic essay.""
  },
  {
    ""id"": ""essay64.docx"",
    ""pred_score"": 8,
    ""justification"": ""This essay is well-structured and engaging, utilizing specific evidence and clear transitions to support a thoughtful argument.""
  }
]"
essay92.docx,essay92.docx,2,fewshot,reversed,3,"The writing is juvenile and contains informal phrasing and mechanical errors, though it maintains a consistent focus on the book's plot.",False,"[
  {
    ""id"": ""essay29.docx"",
    ""pred_score"": 4,
    ""justification"": ""The essay is logically organized and clear but relies on very basic vocabulary and a highly formulaic structure.""
  },
  {
    ""id"": ""researchpaper95.docx"",
    ""pred_score"": 10,
    ""justification"": ""This is a sophisticated, professional academic text with exceptional clarity, technical depth, and perfect structural organization.""
  },
  {
    ""id"": ""essay92.docx"",
    ""pred_score"": 3,
    ""justification"": ""The writing is juvenile and contains informal phrasing and mechanical errors, though it maintains a consistent focus on the book's plot.""
  },
  {
    ""id"": ""essay0.docx"",
    ""pred_score"": 1,
    ""justification"": ""The text is extremely brief, repetitive, and lacks the development or complexity required for a basic essay.""
  },
  {
    ""id"": ""essay64.docx"",
    ""pred_score"": 8,
    ""justification"": ""This essay is well-structured and engaging, utilizing specific evidence and clear transitions to support a thoughtful argument.""
  }
]"
essay0.docx,essay0.docx,3,fewshot,reversed,1,"The text is extremely brief, repetitive, and lacks the development or complexity required for a basic essay.",False,"[
  {
    ""id"": ""essay29.docx"",
    ""pred_score"": 4,
    ""justification"": ""The essay is logically organized and clear but relies on very basic vocabulary and a highly formulaic structure.""
  },
  {
    ""id"": ""researchpaper95.docx"",
    ""pred_score"": 10,
    ""justification"": ""This is a sophisticated, professional academic text with exceptional clarity, technical depth, and perfect structural organization.""
  },
  {
    ""id"": ""essay92.docx"",
    ""pred_score"": 3,
    ""justification"": ""The writing is juvenile and contains informal phrasing and mechanical errors, though it maintains a consistent focus on the book's plot.""
  },
  {
    ""id"": ""essay0.docx"",
    ""pred_score"": 1,
    ""justification"": ""The text is extremely brief, repetitive, and lacks the development or complexity required for a basic essay.""
  },
  {
    ""id"": ""essay64.docx"",
    ""pred_score"": 8,
    ""justification"": ""This essay is well-structured and engaging, utilizing specific evidence and clear transitions to support a thoughtful argument.""
  }
]"
essay64.docx,essay64.docx,4,fewshot,reversed,8,"This essay is well-structured and engaging, utilizing specific evidence and clear transitions to support a thoughtful argument.",False,"[
  {
    ""id"": ""essay29.docx"",
    ""pred_score"": 4,
    ""justification"": ""The essay is logically organized and clear but relies on very basic vocabulary and a highly formulaic structure.""
  },
  {
    ""id"": ""researchpaper95.docx"",
    ""pred_score"": 10,
    ""justification"": ""This is a sophisticated, professional academic text with exceptional clarity, technical depth, and perfect structural organization.""
  },
  {
    ""id"": ""essay92.docx"",
    ""pred_score"": 3,
    ""justification"": ""The writing is juvenile and contains informal phrasing and mechanical errors, though it maintains a consistent focus on the book's plot.""
  },
  {
    ""id"": ""essay0.docx"",
    ""pred_score"": 1,
    ""justification"": ""The text is extremely brief, repetitive, and lacks the development or complexity required for a basic essay.""
  },
  {
    ""id"": ""essay64.docx"",
    ""pred_score"": 8,
    ""justification"": ""This essay is well-structured and engaging, utilizing specific evidence and clear transitions to support a thoughtful argument.""
  }
]"
